Club,Country,City,"Total
seasons","Total
spells","Longest
spell","Most recent
promotion","Most recent
relegation","Total
seasons
absent",Current spell,"Highest
finish",Top scorer (Name),Top scorer (Goals)
Arsenal,United Kingdom,London,31,1,31,1914–15,Never relegated,0,31,1st,Thierry Henry ,175
Aston Villa,United Kingdom,Birmingham,28,2,24,2018–19,2015–16,3,3,2nd,Gabriel Agbonlahor ,73
Barnsley,United Kingdom,Barnsley,1,1,1,1996–97,1997–98,30,0,19th (relegated),Neil Redfearn ,10
Birmingham City,United Kingdom,Birmingham,7,3,4,2008–09,2010–11,24,0,9th,Mikael Forssell ,29
Blackburn Rovers,United Kingdom,Blackburn,18,2,11,2000–01,2011–12,13,0,1st,Alan Shearer ,112
Blackpool,United Kingdom,Blackpool,1,1,1,2009–10,2010–11,30,0,19th (relegated),DJ Campbell ,13
Bolton Wanderers,United Kingdom,Bolton,13,3,11,2000–01,2011–12,18,0,6th,Kevin Davies ,68
Bournemouth,United Kingdom,Bournemouth,6,2,5,2021–22,2019–20,25,1,9th,Joshua King ,49
Bradford City,United Kingdom,Bradford,2,1,2,1998–99,2000–01,29,0,17th,Dean Windass ,13
Brentford,United Kingdom,London,2,1,2,2020–21,Never relegated,29,2,13th,Ivan Toney ,11
Brighton & Hove Albion,United Kingdom,Brighton,6,1,6,2016–17,Never relegated,25,6,9th,Glenn Murray ,28
Burnley,United Kingdom,Burnley,8,3,6,2015–16,2021–22,23,0,7th,Chris Wood ,49
Cardiff City,United Kingdom,Cardiff,2,2,1,2017–18,2018–19,29,0,18th (relegated),Jordon Mutch ,7
Charlton Athletic,United Kingdom,London,8,2,7,1999–2000,2006–07,23,0,7th,Jason Euell ,34
Chelsea,United Kingdom,London,31,1,31,1988–89,Never relegated,0,31,1st,Frank Lampard ,147
Coventry City,United Kingdom,Coventry,9,1,9,1966–67,2000–01,22,0,11th,Dion Dublin ,61
Crystal Palace,United Kingdom,London,14,5,10,2012–13,2004–05,17,10,10th,Wilfried Zaha ,50
Derby County,United Kingdom,Derby,7,2,6,2006–07,2007–08,24,0,8th,Dean Sturridge ,32
Everton,United Kingdom,Liverpool,31,1,31,1953–54,Never relegated,0,31,4th,Romelu Lukaku ,68
Fulham,United Kingdom,London,16,4,13,2021–22,2020–21,15,1,7th,Clint Dempsey ,50
Huddersfield Town,United Kingdom,Huddersfield,2,1,2,2016–17,2018–19,29,0,16th,Steve Mounié ,9
Hull City,United Kingdom,Kingston,5,3,2,2015–16,2016–17,26,0,16th,Nikica Jelavi? ,12
Ipswich Town,United Kingdom,Ipswich,5,2,3,1999–2000,2001–02,26,0,5th,Marcus Stewart ,25
Leeds United,United Kingdom,Leeds,15,2,12,2019–20,2003–04,16,3,3rd,Mark Viduka ,59
Leicester City,United Kingdom,Leicester,17,4,9,2013–14,2003–04,14,9,1st,Jamie Vardy ,127
Liverpool,United Kingdom,Liverpool,31,1,31,1961–62,Never relegated,0,31,1st,Robbie Fowler ,128
Manchester City,United Kingdom,Manchester,26,3,21,2001–02,2000–01,5,21,1st,Sergio Agüero ,184
Manchester United,United Kingdom,Old,31,1,31,1974–75,Never relegated,0,31,1st,Wayne Rooney ,183
Middlesbrough,United Kingdom,Middlesbrough,15,4,11,2015–16,2016–17,16,0,7th,Hamilton Ricard ,31
Newcastle United,United Kingdom,Newcastle,28,3,16,2016–17,2015–16,3,6,2nd,Alan Shearer ,148
Norwich City,United Kingdom,Norwich,10,6,3,2020–21,2021–22,21,0,3rd,Chris Sutton ,33
Nottingham Forest,United Kingdom,West,6,4,3,2021–22,1998–99,25,1,3rd,Bryan Roy ,24
Oldham Athletic,United Kingdom,Oldham,2,1,2,1990–91,1993–94,29,0,19th,Graeme Sharp ,16
Portsmouth,United Kingdom,Portsmouth,7,1,7,2002–03,2009–10,24,0,8th,Yakubu ,28
Queens Park Rangers,United Kingdom,London,7,3,4,2013–14,2014–15,24,0,5th,Les Ferdinand ,60
Reading,United Kingdom,Reading,3,2,2,2011–12,2012–13,28,0,8th,Kevin Doyle ,19
Sheffield United,United Kingdom,Sheffield,5,3,2,2018–19,2020–21,26,0,9th,Brian Deane ,15
Sheffield Wednesday,United Kingdom,Sheffield,8,1,8,1990–91,1999–2000,23,0,7th,Mark Bright ,48
Southampton,United Kingdom,Southampton,24,2,13,2011–12,2004–05,7,11,6th,Matt Le Tissier ,100
Stoke City,United Kingdom,Stoke-on-Trent,10,1,10,2007–08,2017–18,21,0,9th,Peter Crouch ,45
Sunderland,United Kingdom,Sunderland,16,4,10,2006–07,2016–17,15,0,7th,Kevin Phillips ,61
Swansea City,United Kingdom,Swansea,7,1,7,2010–11,2017–18,24,0,8th,Gylfi Sigurðsson ,34
Swindon Town,United Kingdom,Swindon,1,1,1,1992–93,1993–94,30,0,22nd (relegated),Jan Åge Fjørtoft ,12
Tottenham Hotspur,United Kingdom,London,31,1,31,1977–78,Never relegated,0,31,2nd,Harry Kane ,183
Watford,United Kingdom,Watford,8,4,5,2020–21,2021–22,23,0,11th,Troy Deeney ,43
West Bromwich Albion,United Kingdom,West,13,5,8,2019–20,2020–21,17,0,8th,Peter Odemwingie ,30
West Ham United,United Kingdom,London,27,3,11,2011–12,2010–11,4,11,5th,Michail Antonio ,52
Wigan Athletic,United Kingdom,Wigan,8,1,8,2004–05,2012–13,23,0,10th,Hugo Rodallega ,24
Wimbledon,United Kingdom,London,8,1,8,1985–86,1999–2000,23,0,6th,Dean Holdsworth ,58
Wolverhampton Wanderers,United Kingdom,Wolverhampton,9,3,5,2017–18,2011–12,22,5,7th,Raúl Jiménez ,36
